component,packages,files,libraries,library_ids,example_packages
recursive,3,25,1,assertj-core,org.assertj.core.api.recursive;org.assertj.core.api.recursive.assertion;org.assertj.core.api.recursive.comparison
bidimap,1,24,1,commons-collections,org.apache.commons.collections4.bidimap
mime,1,24,1,httpclient,org.apache.hc.client5.http.entity.mime
installer,2,23,1,lombok,lombok.installer;lombok.installer.eclipse
maven,5,23,1,maven-plugin-api,org.apache.maven.monitor.logging;org.apache.maven.plugin;org.apache.maven.plugin.descriptor;org.apache.maven.plugin.lifecycle;org.apache.maven.plugin.logging
plugin,4,22,1,maven-plugin-api,org.apache.maven.plugin;org.apache.maven.plugin.descriptor;org.apache.maven.plugin.lifecycle;org.apache.maven.plugin.logging
aggregate,1,21,1,h2,org.h2.expression.aggregate
build,1,21,1,commons-io,org.apache.commons.io.build
regression,1,21,1,mysql-connector-j,testsuite.regression
translate,1,21,1,commons-lang,org.apache.commons.lang3.text.translate
comparator,1,20,1,commons-io,org.apache.commons.io.comparator
ha,1,20,1,mysql-connector-j,com.mysql.cj.jdbc.ha
standard,1,20,1,spring-context,org.springframework.format.datetime.standard
bind,2,19,1,gson,com.google.gson.internal.bind;com.google.gson.internal.bind.util
bnf,2,19,1,h2,org.h2.bnf;org.h2.bnf.context
comparison,1,19,1,assertj-core,org.assertj.core.api.recursive.comparison
misusing,1,19,1,mockito-core,org.mockito.exceptions.misusing
testbed,1,19,1,commons-lang,org.apache.commons.lang3.reflect.testbed
collection,1,18,1,commons-collections,org.apache.commons.collections4.collection
multimap,1,18,1,commons-collections,org.apache.commons.collections4.multimap
singulars,2,18,1,lombok,lombok.eclipse.handlers.singulars;lombok.javac.handlers.singulars
agent,1,17,1,lombok,lombok.eclipse.agent
hooks,4,17,1,org.osgi.core,org.osgi.framework.hooks.bundle;org.osgi.framework.hooks.resolver;org.osgi.framework.hooks.service;org.osgi.framework.hooks.weaving
joran,4,17,1,logback-classic,ch.qos.logback.classic.joran;ch.qos.logback.classic.joran.action;ch.qos.logback.classic.joran.sanity;ch.qos.logback.classic.joran.serializedModel
jsonFormatVisitors,1,17,1,jackson-databind,tools.jackson.databind.jsonFormatVisitors
mode,1,17,1,h2,org.h2.mode
asm,1,16,1,fastjson,com.alibaba.fastjson2.internal.asm
bean,2,16,1,jackson-databind,tools.jackson.databind.deser.bean;tools.jackson.databind.ser.bean
bm,1,16,1,commons-codec,org.apache.commons.codec.language.bm
classloading,4,16,1,spring-context,org.springframework.instrument.classloading;org.springframework.instrument.classloading.glassfish;org.springframework.instrument.classloading.jboss;org.springframework.instrument.classloading.tomcat
comparators,1,16,1,commons-collections,org.apache.commons.collections4.comparators
experimental,1,16,1,lombok,lombok.experimental
instrument,4,16,1,spring-context,org.springframework.instrument.classloading;org.springframework.instrument.classloading.glassfish;org.springframework.instrument.classloading.jboss;org.springframework.instrument.classloading.tomcat
key,2,16,1,jackson-databind,tools.jackson.databind.ext.javatime.deser.key;tools.jackson.databind.ext.javatime.ser.key
serialization,1,16,1,commons-io,org.apache.commons.io.serialization
jndi,2,15,1,spring-context,org.springframework.jndi;org.springframework.jndi.support
keyvalue,1,15,1,commons-collections,org.apache.commons.collections4.keyvalue
resilience,3,15,1,spring-context,org.springframework.resilience;org.springframework.resilience.annotation;org.springframework.resilience.retry
answers,1,14,1,mockito-core,org.mockito.internal.stubbing.answers
channels,1,14,1,commons-io,org.apache.commons.io.channels
diff,2,14,1,assertj-core,org.assertj.core.util.diff;org.assertj.core.util.diff.myers
future,1,14,1,assertj-core,org.assertj.core.error.future
jdk8,1,14,1,jackson-databind,tools.jackson.databind.ext.jdk8
reflection,1,14,1,mockito-core,org.mockito.internal.util.reflection
tx,1,14,1,h2,org.h2.mvstore.tx
apt,1,13,1,lombok,lombok.javac.apt
beanvalidation,1,13,1,spring-context,org.springframework.validation.beanvalidation
injection,3,13,1,mockito-core,org.mockito.internal.configuration.injection;org.mockito.internal.configuration.injection.filter;org.mockito.internal.configuration.injection.scanner
listeners,2,13,1,mockito-core,org.mockito.internal.listeners;org.mockito.listeners
multiset,1,13,1,commons-collections,org.apache.commons.collections4.multiset
presentation,1,13,1,assertj-core,org.assertj.core.presentation
queue,1,13,1,commons-collections,org.apache.commons.collections4.queue
tuple,1,13,1,commons-lang,org.apache.commons.lang3.tuple
uri,1,13,1,assertj-core,org.assertj.core.error.uri
wiring,2,13,1,org.osgi.core,org.osgi.framework.wiring;org.osgi.framework.wiring.dto
aot,1,12,1,spring-context,org.springframework.context.aot
dto,3,12,1,org.osgi.core,org.osgi.framework.dto;org.osgi.framework.startlevel.dto;org.osgi.framework.wiring.dto
eventbus,1,12,1,guava,com.google.common.eventbus
analysis,1,11,1,h2,org.h2.expression.analysis
assembler,1,11,1,spring-context,org.springframework.jmx.export.assembler
debugging,1,11,1,mockito-core,org.mockito.internal.debugging
delombok,2,11,1,lombok,lombok.delombok;lombok.delombok.ant
dependencies,2,11,1,lombok,lombok.eclipse.dependencies;lombok.eclipse.dependencies.model
escape,1,11,1,guava,com.google.common.escape
metadata,1,11,1,spring-context,org.springframework.jmx.export.metadata
mom,3,11,1,log4j-core,org.apache.logging.log4j.core.appender.mom;org.apache.logging.log4j.core.appender.mom.jeromq;org.apache.logging.log4j.core.appender.mom.kafka
query,1,11,1,h2,org.h2.command.query
recycler,2,11,1,log4j-api,org.apache.logging.log4j.internal.recycler;org.apache.logging.log4j.spi.recycler
sequence,1,11,1,commons-collections,org.apache.commons.collections4.sequence
trie,2,11,1,commons-collections,org.apache.commons.collections4.trie;org.apache.commons.collections4.trie.analyzer
visitors,1,11,1,log4j-core,org.apache.logging.log4j.core.config.plugins.visitors
web,1,11,1,h2,org.h2.server.web
authentication,1,10,1,mysql-connector-j,com.mysql.cj.protocol.a.authentication
defaultanswers,1,10,1,mockito-core,org.mockito.internal.stubbing.defaultanswers
introspection,1,10,1,assertj-core,org.assertj.core.util.introspection
number,2,10,1,spring-context,org.springframework.format.number;org.springframework.format.number.money
parallel,1,10,1,junit-jupiter-api,org.junit.jupiter.api.parallel
tccl,4,10,1,commons-logging,org.apache.commons.logging.tccl;org.apache.commons.logging.tccl.custom;org.apache.commons.logging.tccl.log;org.apache.commons.logging.tccl.logfactory
tz,1,10,1,joda-time,org.joda.time.tz
descriptor,1,9,1,maven-plugin-api,org.apache.maven.plugin.descriptor
extern,7,9,1,lombok,lombok.extern.apachecommons;lombok.extern.flogger;lombok.extern.jackson;lombok.extern.java;lombok.extern.jbosslog
reporters,1,9,1,testng,org.testng.reporters
runners,2,9,1,mockito-core,org.mockito.internal.runners;org.mockito.internal.runners.util
turbo,1,9,1,logback-classic,ch.qos.logback.classic.turbo
url,1,9,1,mysql-connector-j,com.mysql.cj.conf.url
arbiters,1,8,1,log4j-core,org.apache.logging.log4j.core.config.arbiters
bytecode,1,8,1,lombok,lombok.bytecode
constraint,1,8,1,h2,org.h2.constraint
data,1,8,1,assertj-core,org.assertj.core.data
jdbcx,1,8,1,h2,org.h2.jdbcx
method,1,8,1,spring-context,org.springframework.validation.method
namespace,1,8,1,org.osgi.core,org.osgi.framework.namespace
nosql,1,8,1,log4j-core,org.apache.logging.log4j.core.appender.nosql
telemetry,1,8,1,mysql-connector-j,com.mysql.cj.telemetry
buffer,1,7,1,commons-io,org.apache.commons.io.input.buffer
comparisonstrategy,1,7,1,assertj-core,org.assertj.core.api.comparisonstrategy
debug,1,7,1,lombok,lombok.core.debug
i18n,1,7,1,spring-context,org.springframework.context.i18n
instant,1,7,1,log4j-core,org.apache.logging.log4j.core.util.internal.instant
meta,1,7,1,h2,org.h2.jdbc.meta
module,1,7,1,jackson-databind,tools.jackson.databind.module
priv,1,7,1,commons-beanutils,org.apache.commons.beanutils2.priv
progress,1,7,1,mockito-core,org.mockito.internal.progress
protocols,1,7,1,testng,org.testng.internal.protocols
socket,1,7,1,httpclient,org.apache.hc.client5.http.socket
stacktrace,2,7,1,mockito-core,org.mockito.exceptions.stacktrace;org.mockito.internal.exceptions.stacktrace
sym,1,7,1,jackson-core,tools.jackson.core.sym
utils,1,7,1,httpclient,org.apache.hc.client5.http.utils
boolex,1,6,1,logback-classic,ch.qos.logback.classic.boolex
callback,1,6,1,mysql-connector-j,com.mysql.cj.callback
collections,1,6,1,mockito-core,org.mockito.internal.util.collections
connect,1,6,1,org.osgi.core,org.osgi.framework.connect
csv,1,6,1,fastjson,com.alibaba.fastjson2.support.csv
ejb,1,6,1,spring-context,org.springframework.ejb.config
geometry,1,6,1,h2,org.h2.util.geometry
lob,1,6,1,h2,org.h2.value.lob
log4j12,1,6,1,commons-logging,org.apache.commons.logging.log4j.log4j12
main,1,6,1,lombok,com.sun.tools.javac.main
naming,1,6,1,spring-context,org.springframework.jmx.export.naming
other,1,6,1,commons-beanutils,org.apache.commons.beanutils2.bugs.other
permit,2,6,1,lombok,lombok.permit;lombok.permit.dummy
psl,1,6,1,httpclient,org.apache.hc.client5.http.psl
rewrite,1,6,1,log4j-core,org.apache.logging.log4j.core.appender.rewrite
script,1,6,1,log4j-core,org.apache.logging.log4j.core.script
startlevel,2,6,1,org.osgi.core,org.osgi.framework.startlevel;org.osgi.framework.startlevel.dto
stereotype,1,6,1,spring-context,org.springframework.stereotype
assertion,1,5,1,assertj-core,org.assertj.core.api.recursive.assertion
charset,1,5,1,commons-io,org.apache.commons.io.charset
checkers,1,5,1,mockito-core,org.mockito.internal.verification.checkers
compare,1,5,1,commons-lang,org.apache.commons.lang3.compare
constraints,1,5,1,log4j-core,org.apache.logging.log4j.core.config.plugins.validation.constraints
description,1,5,1,assertj-core,org.assertj.core.description
extractor,1,5,1,assertj-core,org.assertj.core.extractor
fulltext,1,5,1,h2,org.h2.fulltext
handler,1,5,1,mockito-core,org.mockito.internal.handler
instance,2,5,1,mockito-core,org.mockito.creation.instance;org.mockito.internal.creation.instance
interceptors,2,5,1,mysql-connector-j,com.mysql.cj.interceptors;com.mysql.cj.jdbc.interceptors
java8,1,5,1,lombok,lombok.javac.java8
jdk14,1,5,1,commons-logging,org.apache.commons.logging.jdk14
jmh,1,5,1,commons-io,org.apache.commons.io.jmh
kafka,1,5,1,log4j-core,org.apache.logging.log4j.core.appender.mom.kafka
mem,1,5,1,h2,org.h2.store.fs.mem
mock,1,5,1,mockito-core,org.mockito.mock
modules,1,5,1,fastjson,com.alibaba.fastjson2.modules
myers,1,5,1,assertj-core,org.assertj.core.util.diff.myers
niomem,1,5,1,h2,org.h2.store.fs.niomem
notification,1,5,1,spring-context,org.springframework.jmx.export.notification
proxy,1,5,1,mockito-core,org.mockito.internal.creation.proxy
reporting,1,5,1,mockito-core,org.mockito.internal.reporting
rtree,1,5,1,h2,org.h2.mvstore.rtree
sasl,1,5,1,mysql-connector-j,com.mysql.cj.sasl
service,1,5,1,org.osgi.core,org.osgi.framework.hooks.service
session,2,5,1,mockito-core,org.mockito.internal.session;org.mockito.session
ui,1,5,1,spring-context,org.springframework.ui
validators,1,5,1,log4j-core,org.apache.logging.log4j.core.config.plugins.validation.validators
website,1,5,1,lombok,lombok.website
bsh,1,4,1,spring-context,org.springframework.scripting.bsh
bundle,1,4,1,org.osgi.core,org.osgi.framework.hooks.bundle
code,1,4,1,lombok,com.sun.tools.javac.code
composite,1,4,1,log4j-core,org.apache.logging.log4j.core.config.composite
dummy,1,4,1,lombok,lombok.permit.dummy
encrypt,1,4,1,h2,org.h2.store.fs.encrypt
groovy,1,4,1,spring-context,org.springframework.scripting.groovy
hamcrest,2,4,1,mockito-core,org.mockito.hamcrest;org.mockito.internal.hamcrest
java6,1,4,1,lombok,lombok.javac.java6
java7,1,4,1,lombok,lombok.javac.java7
lifecycle,1,4,1,maven-plugin-api,org.apache.maven.plugin.lifecycle
logfactory,1,4,1,commons-logging,org.apache.commons.logging.tccl.logfactory
memoryleaktests,2,4,1,commons-beanutils,org.apache.commons.beanutils2.memoryleaktests;org.apache.commons.beanutils2.memoryleaktests.pojotests
sift,1,4,1,logback-classic,ch.qos.logback.classic.sift
splitmap,1,4,1,commons-collections,org.apache.commons.collections4.splitmap
ant,2,3,1,lombok,lombok.ant;lombok.delombok.ant
arch,1,3,1,commons-lang,org.apache.commons.lang3.arch
attribute,1,3,1,commons-io,org.apache.commons.io.file.attribute
beans,1,3,1,jackson-databind,tools.jackson.databind.ext.beans
cli,1,3,1,commons-codec,org.apache.commons.codec.cli
compatibility,1,3,1,commons-io,org.apache.commons.io.input.compatibility
groups,1,3,1,assertj-core,org.assertj.core.groups
instrumentation,1,3,1,mysql-connector-j,instrumentation
java,3,3,1,lombok,java.lang.annotation;java.nio.file;lombok.extern.java
jeromq,1,3,1,log4j-core,org.apache.logging.log4j.core.appender.mom.jeromq
locks,1,3,1,commons-lang,org.apache.commons.lang3.concurrent.locks
mapstruct,2,3,1,lombok,lombok.mapstruct;org.mapstruct.ap.spi
mockref,1,3,1,mockito-core,org.mockito.internal.invocation.mockref
niomapped,1,3,1,h2,org.h2.store.fs.niomapped
otel,1,3,1,mysql-connector-j,com.mysql.cj.otel
pathable,1,3,1,commons-logging,org.apache.commons.logging.pathable
perf,1,3,1,mysql-connector-j,testsuite.perf
pg,1,3,1,h2,org.h2.server.pg
pojotests,1,3,1,commons-beanutils,org.apache.commons.beanutils2.memoryleaktests.pojotests
publicsuffix,1,3,1,guava,com.google.thirdparty.publicsuffix
quality,1,3,1,mockito-core,org.mockito.quality
rec,1,3,1,h2,org.h2.store.fs.rec
resolver,1,3,1,org.osgi.core,org.osgi.framework.hooks.resolver
runtimeDependencies,1,3,1,lombok,lombok.core.runtimeDependencies
schubfach,1,3,1,jackson-core,tools.jackson.core.io.schubfach
serviceloader,2,3,1,commons-logging,org.apache.commons.logging.serviceloader;org.apache.commons.logging.serviceloader.internal
split,1,3,1,h2,org.h2.store.fs.split
thirdparty,1,3,1,guava,com.google.thirdparty.publicsuffix
yaml,1,3,1,log4j-core,org.apache.logging.log4j.core.config.yaml
zip,1,3,1,h2,org.h2.store.fs.zip
admin,2,2,1,mysql-connector-j,com.mysql.cj.admin;com.mysql.cj.jdbc.admin
analyzer,1,2,1,commons-collections,org.apache.commons.collections4.trie.analyzer
ap,1,2,1,lombok,org.mapstruct.ap.spi
argumentmatching,1,2,1,mockito-core,org.mockito.internal.verification.argumentmatching
codegen,1,2,1,mockito-core,org.mockito.internal.creation.bytebuddy.codegen
comp,1,2,1,lombok,com.sun.tools.javac.comp
custom,1,2,1,commons-logging,org.apache.commons.logging.tccl.custom
disk,1,2,1,h2,org.h2.store.fs.disk
documentation,1,2,1,mysql-connector-j,documentation
encoder,1,2,1,logback-classic,ch.qos.logback.classic.encoder
finder,1,2,1,mockito-core,org.mockito.internal.invocation.finder
glassfish,1,2,1,spring-context,org.springframework.instrument.classloading.glassfish
java9,1,2,1,lombok,lombok.javac.java9
jboss,1,2,1,spring-context,org.springframework.instrument.classloading.jboss
jul,1,2,1,logback-classic,ch.qos.logback.classic.jul
opentest4j,1,2,1,mockito-core,org.mockito.exceptions.verification.opentest4j
scanner,1,2,1,mockito-core,org.mockito.internal.configuration.injection.scanner
timeout,1,2,1,junit-jupiter-api,org.junit.jupiter.api.timeout
tomcat,1,2,1,spring-context,org.springframework.instrument.classloading.tomcat
tyler,1,2,1,logback-classic,ch.qos.logback.classic.tyler
validator,1,2,1,httpclient,org.apache.hc.client5.http.validator
array2d,1,1,1,assertj-core,org.assertj.core.error.array2d
ast,1,1,1,lombok,org.eclipse.jdt.internal.compiler.ast
avalon,1,1,1,commons-logging,org.apache.commons.logging.avalon
c3p0,1,1,1,mysql-connector-j,com.mysql.cj.jdbc.integration.c3p0
color,1,1,1,logback-classic,ch.qos.logback.classic.pattern.color
compat,1,1,1,httpclient,org.apache.hc.client5.http.impl.compat
compiler,1,1,1,lombok,org.eclipse.jdt.internal.compiler.ast
demo,1,1,1,mysql-connector-j,demo.x.devapi
eclipseCreate,1,1,1,lombok,lombok.eclipseCreate
flogger,1,1,1,lombok,lombok.extern.flogger
inject,1,1,1,mockito-core,org.mockito.internal.creation.bytebuddy.inject
integration,1,1,1,mysql-connector-j,com.mysql.cj.jdbc.integration.c3p0
iterable,1,1,1,assertj-core,org.assertj.core.api.iterable
javadoc,1,1,1,lombok,com.sun.tools.javadoc
jbosslog,1,1,1,lombok,lombok.extern.jbosslog
jdt,1,1,1,lombok,org.eclipse.jdt.internal.compiler.ast
log4j2,1,1,1,commons-logging,org.apache.commons.logging.log4j2
log4testng,1,1,1,testng,org.testng.log4testng
logkit,1,1,1,commons-logging,org.apache.commons.logging.logkit
matcher,1,1,1,assertj-core,org.assertj.core.matcher
mixin,1,1,1,fastjson,com.alibaba.fastjson2.internal.mixin.spring
noop,1,1,1,commons-logging,org.apache.commons.logging.noop
objects,1,1,1,testng,org.testng.internal.objects
picocli,1,1,1,log4j-core,org.apache.logging.log4j.core.tools.picocli
publish,1,1,1,lombok,lombok.publish
sanity,1,1,1,logback-classic,ch.qos.logback.classic.joran.sanity
serializedModel,1,1,1,logback-classic,ch.qos.logback.classic.joran.serializedModel
settings,1,1,1,mockito-core,org.mockito.internal.creation.settings
spring,1,1,1,fastjson,com.alibaba.fastjson2.internal.mixin.spring
thread,1,1,1,testng,org.testng.internal.thread
trove,1,1,1,fastjson,com.alibaba.fastjson2.internal.trove.map.hash
